MONTH,DAY_OF_WEEK,ORIGIN,BusyFactor,LateFactor,Combined_BusyLateFactor,DEST,Delay15Min,DISTANCE,Hourofdeparture
2,6,SFO,5,5,10,STS,1,66,2000 - 2400
9,1,SFO,5,5,10,STS,1,66,2000 - 2400
1,7,ORD,5,5,10,MKE,0,67,0700 - 0900
1,2,ORD,5,5,10,MKE,1,67,1500 - 1700
3,3,ORD,5,5,10,MKE,0,67,1700 - 1900
3,7,ORD,5,5,10,MKE,0,67,0700 - 0900
4,7,ORD,5,5,10,MKE,0,67,1700 - 1900
4,3,ORD,5,5,10,MKE,1,67,2000 - 2400
7,4,ORD,5,5,10,MKE,1,67,0900 - 1100
7,1,ORD,5,5,10,MKE,0,67,1500 - 1700
8,3,ORD,5,5,10,MKE,0,67,0900 - 1100
8,2,ORD,5,5,10,MKE,0,67,2000 - 2400
9,5,ORD,5,5,10,MKE,1,67,2000 - 2400
9,3,ORD,5,5,10,MKE,0,67,2000 - 2400
10,5,ORD,5,5,10,MKE,1,67,2000 - 2400
10,7,ORD,5,5,10,MKE,0,67,1700 - 1900
11,2,ORD,5,5,10,MKE,0,67,1500 - 1700
11,6,ORD,5,5,10,MKE,0,67,1700 - 1900
12,6,ORD,5,5,10,MKE,0,67,0900 - 1100
12,4,ORD,5,5,10,MKE,0,67,1700 - 1900
12,1,ORD,5,5,10,MKE,0,67,1700 - 1900
1,7,MKE,3,3,4,ORD,0,67,1500 - 1700
2,6,MKE,3,3,4,ORD,0,67,0000 - 0700
2,2,MKE,3,3,4,ORD,0,67,0000 - 0700
3,5,MKE,3,3,4,ORD,0,67,0000 - 0700
3,6,MKE,3,3,4,ORD,0,67,0000 - 0700
4,6,MKE,3,3,4,ORD,0,67,0900 - 1100
4,3,MKE,3,3,4,ORD,0,67,1500 - 1700
5,7,MKE,3,3,4,ORD,0,67,1100 - 1300
5,5,MKE,3,3,4,ORD,0,67,1100 - 1300
6,2,MKE,3,3,4,ORD,0,67,1700 - 1900
6,3,MKE,3,3,4,ORD,0,67,1700 - 1900
7,1,MKE,3,3,4,ORD,0,67,0900 - 1100
